PID,Cond,Ch,HbO_beta,HbR_beta
KK,left,S5-D3,2.10625928908294e-05,-1.53458501651567e-05
KK,left,S3-D4,-1.97509710238716e-05,7.72940852693937e-06
KK,left,S4-D4,-2.05665896532314e-06,-4.56179791620812e-06
KK,left,S5-D4,2.72898846140573e-05,-8.88366106189947e-06
KK,left,S8-D5,5.73975580016975e-05,-5.12559443994213e-06
KK,left,S6-D5,3.06754848501057e-05,-3.3288124511369e-05
KK,left,S7-D5,-2.55425969603106e-21,6.52010846637465e-22
KK,left,S9-D6,3.02673715651356e-06,5.73472880531187e-07
KK,left,S8-D6,6.60192167057978e-05,3.051103332858e-06
KK,left,S6-D6,6.79328137380964e-06,-2.09342224109405e-06
KK,left,S10-D7,1.95908344826015e-05,2.32612375635572e-06
KK,left,S9-D7,1.32023421680716e-05,-1.69487746955329e-05
KK,left,S8-D7,1.68652839956745e-05,1.49466487852781e-06
KK,left,S10-D8,-3.0597622194226e-05,2.90586080053291e-06
KK,left,S9-D8,9.53091692317312e-06,-2.66902018443189e-06
KK,right,S1-D1,1.48526738527021e-05,-2.19340645581008e-05
KK,right,S3-D1,-3.29464148817275e-06,-3.84577962320678e-06
KK,right,S2-D1,-1.35465708075037e-20,1.00669836591174e-20
KK,right,S1-D2,3.49987062636346e-05,2.82264025758505e-06
KK,right,S3-D2,2.01978531861882e-05,-2.09272709021329e-06
KK,right,S4-D2,-3.70021782212854e-06,8.828448366136e-06
KK,right,S4-D3,-1.10860848478111e-06,8.36898035774488e-06
KK,right,S5-D3,-4.98693722244145e-06,6.82763619037333e-07
KK,right,S3-D4,1.37322941761425e-05,2.18563097057621e-06
KK,right,S4-D4,-1.5212135706623e-05,7.51881974815267e-06
KK,right,S5-D4,-1.75744270101867e-06,1.43190315218609e-06
KK,right,S8-D5,-8.26228736276344e-06,-2.50712422349006e-06
KK,right,S6-D5,-3.5720415299351e-06,6.73409211303481e-06
KK,right,S7-D5,1.16050232100284e-21,2.83277976337523e-22
KK,right,S9-D6,9.14274995620225e-06,1.75587193496406e-06
KK,right,S8-D6,-4.02019477393594e-06,-1.92697391287881e-06
KK,right,S6-D6,5.09683663733607e-06,4.38369326952318e-06
KK,right,S10-D7,4.81100898537293e-06,3.23303575422664e-07
KK,right,S9-D7,1.04370050841897e-05,4.47142594432095e-06
KK,right,S8-D7,-2.95284907955841e-06,1.32857601623408e-06
KK,right,S10-D8,1.97427956687327e-05,-5.22930765442138e-07
KK,right,S9-D8,1.20348120396406e-05,2.79259959308787e-06
KK,left,S1-D1,4.10948066100071e-06,-1.05728341692197e-05
KK,left,S3-D1,-2.43039244170649e-05,-1.31174156474119e-05
KK,left,S2-D1,1.41606634064089e-20,2.68097818782904e-20
KK,left,S1-D2,1.39098280005506e-05,2.3712742554118e-06
KK,left,S3-D2,-4.03803885747846e-05,2.34516565250414e-06
KK,left,S4-D2,-1.11886769912146e-05,1.52531723687963e-06
KK,left,S4-D3,-2.2060351967215e-05,7.35815884694432e-06
KK,left,S5-D3,-7.42881686180839e-06,-8.70606884947179e-07
KK,left,S3-D4,-1.85176004129705e-05,-7.05893973511449e-06
KK,left,S4-D4,-3.11182847391917e-07,-3.29237766271508e-06
KK,left,S5-D4,1.34867722594401e-05,-8.66133969351022e-06
KK,left,S8-D5,-1.77435637658737e-05,-2.39316042800896e-06
